SCHEMECODE,S_NAME,CATEGORY_CODE,CATEGORY_NAME,_3Rt,std,INCRET
"23474","DSP Banking & PSU Debt Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.6","12.4","6.7"
"23792","DSP Banking & PSU Debt Fund(DD-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.7","6.6"
"23793","DSP Banking & PSU Debt Fund(W-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.7","6.7"
"43476","DSP Banking & PSU Debt Fund(Q-IDCW Reinv)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","3.0","6.7"
"22142","DSP Banking & PSU Debt Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.5","1.7","7.7"
"23754","DSP Banking & PSU Debt Fund-Reg(M-IDCW Reinv)","72","Debt - Banking and PSU Fund","7.5","2.9","6.4"
"23795","DSP Banking & PSU Debt Fund(Q-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","3.0","6.7"
"23799","DSP Banking & PSU Debt Fund-Reg(W-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.7","6.4"
"23472","DSP Banking & PSU Debt Fund-Reg(IDCW)","72","Debt - Banking and PSU Fund","7.3","12.0","6.5"
"23794","DSP Banking & PSU Debt Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","2.9","6.7"
"37606","DSP Banking & PSU Debt Fund-Reg(IDCW-Reinv)","72","Debt - Banking and PSU Fund","7.3","12.0","6.5"
"23932","Edelweiss Banking and PSU Debt Fund(FN-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.8","7.5"
"23755","DSP Banking & PSU Debt Fund-Reg(Q-IDCW)","72","Debt - Banking and PSU Fund","7.5","2.8","6.5"
"38497","DSP Banking & PSU Debt Fund-Reg(Q-IDCW Reinv)","72","Debt - Banking and PSU Fund","7.5","2.8","6.5"
"30835","DSP Banking & PSU Debt Fund-Reg(M-IDCW)","72","Debt - Banking and PSU Fund","7.5","2.9","6.4"
"43474","DSP Banking & PSU Debt Fund(IDCW-Reinv)-Direct Plan","72","Debt - Banking and PSU Fund","7.6","12.4","6.7"
"23791","DSP Banking & PSU Debt Fund-Reg(DD-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.7","6.4"
"43475","DSP Banking & PSU Debt Fund(M-IDCW Reinv)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","2.9","6.7"
"23934","Edelweiss Banking and PSU Debt Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.8","7.2"
"23797","Edelweiss Banking and PSU Debt Fund(W-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.8","7.1"
"23304","Edelweiss Banking and PSU Debt Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.8","8.2"
"23305","Edelweiss Banking and PSU Debt Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.8","8.1"
"23296","Edelweiss Banking and PSU Debt Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.6","1.8","7.9"
"23798","Edelweiss Banking and PSU Debt Fund-Reg(FN-IDCW)","72","Debt - Banking and PSU Fund","7.6","1.8","8.5"
"23933","Edelweiss Banking and PSU Debt Fund-Reg(M-IDCW)","72","Debt - Banking and PSU Fund","7.6","1.8","6.8"
"23302","Edelweiss Banking and PSU Debt Fund-Reg(IDCW)","72","Debt - Banking and PSU Fund","7.6","1.8","7.9"
"23796","Edelweiss Banking and PSU Debt Fund-Reg(W-IDCW)","72","Debt - Banking and PSU Fund","7.6","1.8","6.6"
"28076","HDFC Banking and PSU Debt Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.4","8.0"
"45765","Franklin India Banking & PSU Debt Fund(IDCW Payout)","72","Debt - Banking and PSU Fund","7.5","1.5","6.3"
"28460","Franklin India Banking & PSU Debt Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.5","7.9"
"28461","Franklin India Banking & PSU Debt Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.5","6.7"
"23913","HDFC Banking and PSU Debt Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.5","1.4","7.6"
"35508","HDFC Banking and PSU Debt Fund(IDCW-Reinv)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","6.9"
"28458","Franklin India Banking & PSU Debt Fund(G)","72","Debt - Banking and PSU Fund","7.5","1.5","7.5"
"28459","Franklin India Banking & PSU Debt Fund(IDCW)","72","Debt - Banking and PSU Fund","7.5","1.5","6.3"
"48429","Franklin India Banking & PSU Debt Fund(IDCW Payout)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.5","6.7"
"28077","HDFC Banking and PSU Debt Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","6.9"
"28075","HDFC Banking and PSU Debt Fund-Reg(IDCW)","72","Debt - Banking and PSU Fund","7.5","1.4","6.5"
"18688","HSBC Banking and PSU Debt Fund(DD-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.7","1.2","4.2"
"18689","HSBC Banking and PSU Debt Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.7","1.2","7.6"
"18690","HSBC Banking and PSU Debt Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.7","1.2","6.6"
"37981","HDFC Banking and PSU Debt Fund-Reg(IDCW-Reinv)","72","Debt - Banking and PSU Fund","7.5","1.4","6.5"
"18478","ICICI Pru Banking & PSU Debt Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.1","8.2"
"917","HSBC Banking and PSU Debt Fund-Reg(DD-IDCW)","72","Debt - Banking and PSU Fund","7.3","1.2","6.3"
"18691","HSBC Banking and PSU Debt Fund(W-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.7","1.2","6.4"
"35680","HSBC Banking and PSU Debt Fund(M-IDCW Payout)-Direct Plan","72","Debt - Banking and PSU Fund","7.7","1.2","6.6"
"8080","ICICI Pru Banking & PSU Debt Fund(G)","72","Debt - Banking and PSU Fund","7.6","1.1","7.9"
"918","HSBC Banking and PSU Debt Fund-Reg(M-IDCW)","72","Debt - Banking and PSU Fund","7.3","1.2","4.4"
"43571","ICICI Pru Banking & PSU Debt Fund(Q-IDCW Payout)","72","Debt - Banking and PSU Fund","7.6","1.1","6.6"
"916","HSBC Banking and PSU Debt Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.3","1.2","5.1"
"919","HSBC Banking and PSU Debt Fund-Reg(W-IDCW)","72","Debt - Banking and PSU Fund","7.3","1.2","6.2"
"43715","HSBC Banking and PSU Debt Fund-Reg(M-IDCW Payout)","72","Debt - Banking and PSU Fund","7.3","1.2","4.4"
"18901","Invesco India Banking and PSU Fund(DD-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.5","5.5"
"22689","ICICI Pru Banking & PSU Debt Fund(Q-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.1","7.5"
"21852","ICICI Pru Banking & PSU Debt Fund(Q-IDCW)","72","Debt - Banking and PSU Fund","7.6","1.1","6.6"
"17249","Invesco India Banking and PSU Fund(G)","72","Debt - Banking and PSU Fund","7.5","1.5","6.7"
"35571","ICICI Pru Banking & PSU Debt Fund(Q-IDCW Payout)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.1","7.5"
"45106","ITI Banking & PSU Debt Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.7","1.0","6.4"
"45105","ITI Banking & PSU Debt Fund-Reg(IDCW)","72","Debt - Banking and PSU Fund","7.1","1.0","5.8"
"17250","Invesco India Banking and PSU Fund(DD-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.5","5.7"
"2044","Kotak Banking and PSU Debt Fund(G)","72","Debt - Banking and PSU Fund","7.6","1.4","7.3"
"44398","ITI Banking & PSU Debt Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.1","1.0","5.8"
"45107","ITI Banking & PSU Debt Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.7","1.0","6.4"
"17862","Invesco India Banking and PSU Fund(M-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.5","5.7"
"43657","Kotak Banking and PSU Debt Fund(M-IDCW Payout)","72","Debt - Banking and PSU Fund","7.6","1.4","6.2"
"44327","Kotak Banking and PSU Debt Fund(M-IDCW Payout)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.4","6.7"
"18903","Invesco India Banking and PSU Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.5","6.1"
"18902","Invesco India Banking and PSU Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.5","7.3"
"19744","LIC MF Banking & PSU Fund(DD-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.5","6.5"
"2045","Kotak Banking and PSU Debt Fund(M-IDCW)","72","Debt - Banking and PSU Fund","7.6","1.4","6.2"
"19746","LIC MF Banking & PSU Fund(W-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.5","6.2"
"19334","LIC MF Banking & PSU Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.5","7.5"
"45006","Mirae Asset Banking and PSU Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.7","1.5","5.9"
"45003","Mirae Asset Banking and PSU Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.2","1.5","5.4"
"2141","LIC MF Banking & PSU Fund-Reg(W-IDCW)","72","Debt - Banking and PSU Fund","7.4","1.5","6.1"
"19732","Kotak Banking and PSU Debt Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.4","6.7"
"2139","LIC MF Banking & PSU Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.4","1.5","7.1"
"18646","Kotak Banking and PSU Debt Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.4","8.2"
"2138","LIC MF Banking & PSU Fund-Reg(DD-IDCW)","72","Debt - Banking and PSU Fund","7.4","1.5","6.1"
"19745","LIC MF Banking & PSU Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.5","5.1"
"45005","Mirae Asset Banking and PSU Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.7","1.5","5.9"
"45004","Mirae Asset Banking and PSU Fund-Reg(IDCW)","72","Debt - Banking and PSU Fund","7.2","1.5","5.4"
"2140","LIC MF Banking & PSU Fund-Reg(M-IDCW)","72","Debt - Banking and PSU Fund","7.4","1.5","6.1"
"32769","Nippon India Banking and PSU Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.5","7.8"
"32774","Nippon India Banking and PSU Fund(B)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.5","7.8"
"13657","Nippon India Banking and PSU Fund(IDCW)","72","Debt - Banking and PSU Fund","7.5","1.5","7.4"
"32772","Nippon India Banking and PSU Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.5","6.8"
"32770","Nippon India Banking and PSU Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.5","7.8"
"19921","SBI Banking and PSU Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","8.0"
"13659","Nippon India Banking and PSU Fund(M-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.5","6.5"
"13656","Nippon India Banking and PSU Fund(G)","72","Debt - Banking and PSU Fund","7.5","1.5","7.4"
